machine,ftype,feature,group,n,median_sdr,q25,q75,frac_detectable,healthy_false_alarm,median_delta
SCIG,TURNS,Vd_2fe,dq / control,108,2.8928221656499944,0.7410501376353451,11.121539064390051,0.6944444444444444,0.0,0.017455081289791678
SCIG,TURNS,Vq_2fe,dq / control,108,2.41950415642983,0.3869489627529884,5.06430575138674,0.6111111111111112,0.1111111111111111,0.02840077460137802
SCIG,TURNS,Vdconv_2fe,dq / control,108,5.5382602095404465,0.9745933439707904,14.672820240867148,0.7314814814814815,0.1111111111111111,0.013305766224787314
SCIG,TURNS,Vqconv_2fe,dq / control,108,3.573839081845785,0.653101158059046,7.531961461859204,0.6574074074074074,0.2222222222222222,0.03570912978885315
SCIG,TURNS,D2_D1,dq / control,108,5.481737781102706,1.1633876918819552,10.656970966402834,0.7777777777777778,0.3333333333333333,0.019955802983526012
SCIG,TURNS,V2_V1,dq / control,108,3.1341978493445253,0.8397220453960897,11.776472165136237,0.6944444444444444,0.2222222222222222,0.027117402193440776
SCIG,TURNS,Te_2fe,mechanical,108,0.38655636529228427,0.17732830294825974,0.6029634381922759,0.12037037037037036,0.0,0.011322214152278794
SCIG,TURNS,Te_1fe,mechanical,108,0.31692193116642553,0.10503081414806917,0.491786313901984,0.06481481481481481,0.0,0.018256003419112803
SCIG,TURNS,Te_std,mechanical,108,0.3982845416990002,0.1877981810520307,0.7564287129469456,0.1111111111111111,0.0,0.04522971823953193
SCIG,TURNS,Spd_std,mechanical,108,0.44343527583298475,0.24674594850244408,0.7443278492240674,0.16666666666666666,0.0,0.11578468155635786
SCIG,TURNS,Vdc_std,mechanical,108,0.5960506706636264,0.23705553623725864,1.3897399967676425,0.3148148148148148,0.2222222222222222,-0.002314731314572687
SCIG,WINDINGS,I2_I1,stator current,108,49.51492485378276,10.689098960009991,146.90504593161015,0.9814814814814815,0.0,1.758465284468927
SCIG,WINDINGS,I0_I1,stator current,108,0.8477030374667824,0.34659559725607214,3.4871800084333366,0.4722222222222222,0.0,-0.0013593459440944832
SCIG,WINDINGS,I_unbal_rms,stator current,108,4.000490272254099,1.3840661435907,10.43029651453688,0.7777777777777778,0.1111111111111111,0.10067790959895931
SCIG,WINDINGS,Ia_h3,stator current,108,8.848878716875019,2.111035248535564,24.424771255330676,0.8333333333333334,0.2222222222222222,0.3490244628726059
SCIG,WINDINGS,Ia_h5,stator current,108,2.1317933558031736,0.8093710766173015,10.305170215284026,0.7129629629629629,0.0,0.02401932867481904
SCIG,WINDINGS,Ia_h7,stator current,108,0.8346559423185088,0.3884359719268434,1.738591866488741,0.4166666666666667,0.2222222222222222,-0.006068405511980141
SCIG,WINDINGS,Ia_thd,stator current,108,1.8760628421766057,0.5045200199958181,8.45525269384509,0.5925925925925926,0.0,0.08100136085899354
SCIG,WINDINGS,Id_2fe,dq / control,108,73.00796318749585,24.1938872467414,257.8737547818331,1.0,0.2222222222222222,1.1287834104659646
